,imdb_id,genres,region,averageRating,numVotes,backdrop_path,budget,original_language,overview,poster_path,release_date,revenue,runtime,tagline,url_trailer,mot_cle,popularity,title,originalTitle,vote_count,vote_average
1701,tt0089206,"Adventure,Animation,Drama",FR,7.0,2398,https://image.tmdb.org/t/p/w500/dzdtSAJqb7ImoSdHkAlzW5llB3c.jpg,0,ja,"Giovanni currently lives a dreary life of near non-stop work. At school, his peers ridicule him incessantly, and his employer at work is distant and cold. As his isolation from society becomes unbearable, he suddenly finds himself on a train heading far away from his miserable home. Accompanied by Campanella, an acquaintance from school, Giovanni embarks on a journey that will define the rest of his life.",https://image.tmdb.org/t/p/w500/lhuPBTDmQzFCK7ZkWeIzrFY4dXL.jpg,1985,0,108,Japan's most beloved children's book is now a hauntingly beautiful feature film.,,"['friendship', 'japan', 'based on novel or book', 'buddhism', 'cat', 'philosophy', 'literature', 'innocence', 'surrealism', 'anthropomorphism', 'another dimension']",7.998,Train de nuit dans la Voie Lactée,Ginga-tetsudô no yoru,72,7.1
1702,tt0089218,"Adventure,Comedy,Family",FR,7.7,298001,https://image.tmdb.org/t/p/w500/r0p9IeVzVP4OULWWw0UsDSCWtKb.jpg,19000000,en,"A young teenager named Mikey Walsh finds an old treasure map in his father's attic. Hoping to save their homes from demolition, Mikey and his friends Data Wang, Chunk Cohen, and Mouth Devereaux run off on a big quest to find the secret stash of Pirate One-Eyed Willie.",https://image.tmdb.org/t/p/w500/eBU7gCjTCj9n2LTxvCSIXXOvHkD.jpg,1985,61389680,114,Take the Oath. Join the Adventure.,https://www.youtube.com/watch?v=2VlFOve7YZY,"['gang of thieves', 'treasure map', 'oregon, usa', 'gunfight', 'childhood friends', 'booby trap', 'water slide', 'foreclosure', 'walking the plank', 'lost treasure', 'social outcast', 'pirate ship', 'henchmen']",33.069,Les Goonies,The Goonies,5496,7.517
1703,tt0089264,"Comedy,Drama,Romance",FR,6.9,4977,https://image.tmdb.org/t/p/w500/rJnY56RDLdCTX7FTpnOaoR8q6Iv.jpg,0,en,"Sixteen-year-old Michael Dunn arrives at St. Basil's Catholic Boys School in Brooklyn circa 1965. There, he befriends all of the misfits in his class as they collide with the repressive faculty and discover the opposite sex as they come of age.",https://image.tmdb.org/t/p/w500/ncmiNc4FfERFf4k5wSn148DKW4X.jpg,1985,0,104,"If God had wanted them to be angels, He would have given them wings!",,"['boston, massachusetts', 'confession', 'prank', 'catholic school', 'discipline', ""boys' school"", '1960s', 'confession booth', 'soda fountain']",7.203,Tutti frutti,Heaven Help Us,65,6.3
1704,tt0089265,"Comedy,Fantasy,Romance",FR,6.3,5619,https://image.tmdb.org/t/p/w500/sx1pAjShtzYPvIIsAZ4xNqERJcc.jpg,0,en,"After dying in a car crash, Bobby Fantana is forced to pay for his misdeeds by becoming someone's guardian angel. He reluctantly agrees to watch over awkward high schooler Lenny Barnes, teaching him how to be cool and confident. As Bobby teaches Lenny, the two form a close bond.",https://image.tmdb.org/t/p/w500/yn4ri4OJI29M6wvn2ziXhHd8EuX.jpg,1985,0,90,Thou shalt be cool!,,['guardian angel'],8.307,Le garçon qui venait du ciel,The Heavenly Kid,100,6.55
1705,tt0089276,"Drama,History",FR,7.7,10847,https://image.tmdb.org/t/p/w500/ze3ZxG7gV09eYNZ8ixdKT3L9DgQ.jpg,0,es,"Buenos Aires, Argentina, 1983. In the last and turbulent days of the military dictatorship, Alicia, a high school history teacher, begins to ask uncomfortable questions about the dark origins of Gaby, her adopted daughter.",https://image.tmdb.org/t/p/w500/kkeUKaETggOrR0eW9nzPOIoZkZH.jpg,1985,0,112,A truth too frightening to ignore,,"['husband wife relationship', 'buenos aires, argentina', 'family secrets', 'high school teacher', 'military dictatorship', 'history teacher', 'argentinean history', '1980s', 'state crimes', 'adopted daughter', 'mother daughter relationship']",7.467,L'histoire officielle,La historia oficial,180,7.519
1706,tt0089284,"Comedy,Crime",FR,6.5,3147,https://image.tmdb.org/t/p/w500/rUZkK6nf3p1qnhgGN1aIYPXAUqB.jpg,1500000,fr,"Dressed as a clown, the clever rascal Grimm holds up the most secure bank of Montreal and takes 30 hostages. While confusing and ridiculing the police with his strange behavior, he calmly manages to rid the bank of a fortune. But then an unsatisfied companion arouses trouble...",https://image.tmdb.org/t/p/w500/v7ASqmGprPPSI30JmjGNnO8EVlT.jpg,1985,0,114,,https://www.youtube.com/watch?v=OpAbH5qsTkA,[],7.221,Hold-Up,Hold-Up,134,6.2
1707,tt0089343,Comedy,FR,6.5,3881,https://image.tmdb.org/t/p/w500/dI1tVcS6yz8uiU9eLToTfDBCKMK.jpg,0,en,"Four 1950s cultural icons who conceivably could have met but probably didn't, fictionally do so in this modern fable of post-WWII America. Visually intriguing, the film has a fluid progression of flashbacks and flashforwards centering on the fictional Einstein's current observations, childhood memories, and apprehensions for the future.",https://image.tmdb.org/t/p/w500/priidLcX1Qxp0m0vaTa9vSwZ8ZZ.jpg,1985,0,110,"A comedy about life, death, sex, and the Universe... relatively speaking.",,"['hotel room', 'new york city', 'mccarthy era', 'albert einstein', 'joseph mccarthy', '1950s', 'relativity', 'what if', 'joe dimaggio', 'marilyn monroe']",5.017,Une nuit de réflexion,Insignificance,54,6.244
1708,tt0089346,"Action,Comedy,Crime",FR,6.4,13619,https://image.tmdb.org/t/p/w500/4BzmhmxdhAjsK1gcZfytYGAibr0.jpg,11400000,en,"Ed Okin used to have a boring life. He used to have trouble getting to sleep. Then one night, he met Diana. Now, Ed's having trouble staying alive.",https://image.tmdb.org/t/p/w500/voqfHibbZVtl9o6D2MRcdQmN42i.jpg,1985,6700000,115,A dangerous romance,,"['adultery', 'assassin', 'airport', 'chase', 'spoof']",9.791,Série noire pour une nuit blanche,Into the Night,270,6.541
1709,tt0089360,"Drama,Mystery,Thriller",FR,6.5,16772,https://image.tmdb.org/t/p/w500/w1cz966l0ed1So4GkbGJjscAurB.jpg,15000000,en,"San Francisco heiress Page Forrester is brutally murdered in her remote beach house. Her husband Jack is devastated by the crime but soon finds himself accused of her murder. He hires lawyer Teddy Barnes to defend him, despite the fact she hasn't handled a criminal case for many years. There's a certain chemistry between them and Teddy soon finds herself defending the man she loves.",https://image.tmdb.org/t/p/w500/5ucdq9jEWH7XWLnT1y4Katefiqs.jpg,1985,40500000,108,"When a murder case is this shocking, which do you trust... your emotions or the evidence?",,"['court', 'proof', 'client', 'lawyer', 'courtroom', 'beach house', 'heiress', 'neo-noir']",9.484,À double tranchant,Jagged Edge,242,6.281
1710,tt0089371,"Action,Comedy,Fantasy",FR,7.3,4618,https://image.tmdb.org/t/p/w500/xrSdfNfgGpJQlRD0kMMnxUA7r1y.jpg,0,cn,"The planned reburial of a village elder goes awry as the corpse resurrects into a hopping, bloodthirsty vampire, threatening mankind. Therefore, a Taoist Priest and his two disciples attempt to stop the terror.",https://image.tmdb.org/t/p/w500/9PxDXGCOsGiuoi0frojdErKflNX.jpg,1985,0,96,,,"['martial arts', 'vampire', 'possession', 'super power', 'ghost', 'taoism']",6.293,Mr. Vampire,Geung see sin sang,96,6.8
